PID,Order,C_Art1,C_Art2,C_Art3,C_Track1,C_Track2,C_Track3,C_Total_Avg,C_Err_Total,AO_Art1,AO_Art2,AO_Art3,AO_Track1,AO_Track2,AO_Track3,AO_Total_Avg,AO_Err_Total
P1,C->AO,21.8,16.8,11.6,44.5,27.4,17.4,23.3,2,41.5,14.2,6.5,9,11.8,25.1,18,1
P2,AO->C,17.1,16.3,12.6,29.2,71,13.6,26.6,2,16.1,8.3,37,20.2,20.5,14,19.4,2
P3,C->AO,47.8,69.4,32.4,123.4,20,21.7,52.5,7,26.1,27.8,35.3,39.1,32.2,41.6,33.7,3
P4,AO->C,17.3,22.5,7.5,27.7,53.4,17.8,24.4,2,65.7,14.2,9.8,30.4,30.5,17.9,28.1,1
P5,C->AO,46.8,69.6,19.8,28.9,73.2,34.1,45.4,0,54.3,27,20.7,38.4,21.1,63.8,37.6,1
P6,AO->C,49.2,31.5,28.6,84.1,58.9,76.5,54.8,5,27.4,18.1,9.6,44,46.9,37.6,30.6,1
P7,C->AO,40,32.3,21.6,42.7,60.8,35.5,38.8,2,15.8,8.1,37.9,14.9,31.4,30.8,23.2,1
P8,AO->C,111.4,15.1,29.9,41.1,13.1,119.1,55,3,30.4,23.9,36.9,17.3,28.8,13,25.1,1
P9,C->AO,34.1,29.2,21.1,144.6,44.9,113,64.5,6,42.3,18.1,29.3,33.4,133.9,21.8,46.5,5
P10,AO->C,32.4,25.8,25,37.8,28.5,60.5,35,2,24.9,40,9.6,21.4,27.7,9,22.1,2
P11,C->AO,65,21,13.8,31.4,17.8,24.9,29,1,10.7,10.7,32.2,39.2,37.2,29.5,26.6,3
P12,AO->C,59.1,23,11.4,90.3,44.9,187.2,69.3,1,52.7,34.8,70.5,42.1,24.1,26.4,41.8,0
